"count","artist","avg_danceability","avg_duration_ms"
22,"A. M. Rajah",0.541772727272727,188202.045454545
1,"A. Merangulian",0.366,189280
2,"A. Merangulian with folk instrumental ensemble",0.508,175640
5,"A. P. Komala",0.5442,167498.6
1,"A. Pignagnoli",0.809,376864
24,"A. R. Ojha",0.619666666666667,186113.25
21,"A. R. Oza",0.685476190476191,184620.095238095
14,"A. R. Qureshi",0.624285714285714,168611.142857143
2,"A. Xatzixristos",0.564,187787
5,"A.B. Quintanilla III",0.7446,226002.6
21,"A.B. Quintanilla III Y Los Kumbia Kings",0.769333333333333,218239.428571428
1,"A.C. Smyth",0.118,106693
2,"A.CHAL",0.734,165214
2,"A.G.",0.781,238233.5
2,"A.J. Croce",0.411,211653
3,"A.Loraarrero",0.622,161706.666666667
2,"A.R. Kane",0.581,308227
8,"A.R. Rahman",0.65225,360520.75
1,"A.l.t.",0.798,273400
2,"A.r.d.i.",0.592,426000
2,"A2M",0.968,220030
3,"A7S",0.742666666666667,168293
252,"ABBA",0.575166666666667,232053.73015873
18,"ABC",0.687333333333333,231968.444444444
2,"ABIR",0.656,215781
8,"ABN",0.75725,300163.25
1,"ABSRDST",0.651,241711
344,"AC/DC",0.476389534883722,258998.61627907
2,"ACOT",0.73,169912
72,"AFI",0.390138888888889,187259.222222222
2,"AIIVAWN",0.525,240628
2,"AILEE",0.606,232333
1,"AJ Meijer",0.529,315947
1,"AJ Michalka",0.75,202340
8,"AJ Mitchell",0.604,189474.5
5,"AJ Rafael",0.68,208678
18,"AJJ",0.524,155697.666666667
59,"AJR",0.605389830508475,216583.203389831
2,"AK-7",0.771,228373
1,"AL-X The Great",0.797,173558
2,"ALI",0.578,89667
2,"ALISA UENO",0.699,184880
1,"ALLBLACK",0.922,210338
1,"ALO",0.815,218973
6,"AMG",0.829666666666667,209840
97,"ANTONIS NTALGKAS",0.488216494845361,189059.041237113
2,"AOA",0.758,179808
2,"APB",0.601,223080
32,"APO Hiking Society",0.49815625,220666.21875
3,"AR30",0.772333333333333,257691.333333333
2,"ARTY",0.438,224520
12,"ASIAN KUNG-FU GENERATION",0.417,244089
6,"ATB",0.680333333333333,225377.666666667
2,"ATEEZ",0.572,199013
2,"ATR Son Son",0.904,167184
2,"ATaste Of Honey",0.797,245173
2,"AUGUST 08",0.409,280842
10,"AURORA",0.431,211047
2,"AViVA",0.549,228904
2,"AWAY",0.72,212571
2,"AWJC Media",0.494,106275
17,"AWOLNATION",0.628411764705883,216051
19,"AZ",0.726578947368421,253800.736842105
1,"Aadesh Shrivastava",0.665,408920
2,"Aage Braarud",0.43,154825
39,"Aaliyah",0.677871794871795,251971.461538462
2,"Aalon",0.558,325200
4,"Aaron Carter",0.8655,198966.5
125,"Aaron Copland",0.3502792,259123.568
2,"Aaron Espe",0.786,159600
16,"Aaron Hall",0.7086875,315113.25
2,"Aaron Kamm and the One Drops",0.785,379013
1,"Aaron Krause",0.325,223893
5,"Aaron Kwok",0.6478,256189
4,"Aaron Lansing",0.413,134934.5
21,"Aaron Lewis",0.582809523809524,259353.761904762
6,"Aaron Lohr",0.5245,142371.166666667
1,"Aaron Mash",0.807,396550
4,"Aaron May",0.7735,183568.5
28,"Aaron Neville",0.550214285714286,225169.571428571
1,"Aaron Shaw",0.352,409779
4,"Aaron Shust",0.5015,273220
2,"Aaron Smith",0.7355,227026.5
22,"Aaron Tippin",0.652454545454545,198106.727272727
4,"Aaron Tveit",0.51275,143340
8,"Aaron Watson",0.6535,232576.75
12,"Aaron Y Su Grupo Ilusion",0.640083333333333,243263.333333333
2,"Aaron Zigman",0.445,169467
7,"Aarti Mukherji",0.331428571428571,241491.285714286
4,"Aase Ziegler",0.357,193000
19,"Ab-Soul",0.645947368421052,289496.157894737
2,"Abandon All Ships",0.313,219587
2,"Abandoned Pools",0.436,242160
39,"Abbasuddin Ahmed",0.542820512820513,187153.871794872
6,"Abbey Lincoln",0.478666666666667,380471
2,"Abby Anderson",0.62,163960
2,"Abby Newton",0.414,213400
10,"Abdel Aziz Mahmoud",0.4162,591930.8
2,"Abdel Ghany El Sayed",0.375,506923
58,"Abdel Halim Hafez",0.392241379310345,658751.586206897
2,"Abdul",0.599,153228
2,"Abdul Halim Chowdhry",0.425,204853
2,"Abdul Khader",0.475,154480
2,"Abdulial Mahi",0.464,188640
2,"Abdülkerim",0.439,182811
9,"Abel Zavala",0.527111111111111,249788.222222222
2,"Abha Sarkar",0.518,187800
8,"Abhayapada Chatterjee",0.48825,184040
2,"Abhi The Nomad",0.722,214059.5
2,"Abhishek Bachchan",0.866,203380
8,"Abhram Bhagat",0.536,195702.5
3,"Abigale Haness",0.423,147107
2,"Aboriginal Songman",0.409,79387
3,"Above & Beyond",0.62,306251.333333333
2,"Above The Law",0.699,253293
2,"Abracadabra",0.617,223467
6,"Abraham Goldfaden",0.254333333333333,176395.5
2,"Abraham Gustavito",0.633,60000
6,"Abram Chasins",0.604333333333333,77575.5
2,"Abrasive Wheels",0.162,154773
1,"Absis",0.512,262218
2,"Absofacto",0.688,224661
1,"Abstract",0.641,212715
2,"Abwärts",0.402,197493
40,"Academia dos Renascidos",0.5753,150542.75
1,"Academy Of Choir Art Of Russia",0.176,266160
2,"Academy Of London",0.14665,166593
11,"Academy of Ancient Music",0.334272727272727,260773.272727273
80,"Academy of St. Martin in the Fields",0.26819625,321842.35
7,"Academy of St. Martin in the Fields Chorus",0.275942857142857,186605.714285714
6,"Acapulco Tropical",0.703,180751.333333333
4,"Accademia I Filarmonici",0.43725,138003.5
38,"Accept",0.438052631578947,266774.736842105
4,"Acceptance",0.417,178966.5
2,"Ace",0.717,204227
24,"Ace Frehley",0.53875,249206.666666667
10,"Ace Hood",0.6828,270885.7
1,"Ace Ventura",0.455,480160
20,"Ace of Base",0.7228,222997.4
42,"Acerina Y Su Danzonera",0.381714285714286,171286.333333333
3,"Aceyalone",0.799333333333333,275915.666666667
12,"Achille Togliani",0.3855,190876.833333333
16,"Acid Bath",0.32475,313795
2,"Acid Ghost",0.509,168648
2,"Acid King",0.321,384867
2,"Acidic Beats",0.795,366572
6,"Acker Bilk",0.288,177904.666666667
4,"Acoustic Alchemy",0.64,276066.5
12,"Action Bronson",0.555083333333333,273877.25
2,"Active Child",0.572,321453
1,"Ad Brown",0.734,517294
36,"Ada Falcón",0.634,177767.333333333
1,"Ada Moore",0.394,319533
10,"Adalberto Santiago",0.6474,366645.4
2,"Adam & The Ants",0.33,191240
16,"Adam Ant",0.595375,220406.625
2,"Adam Calhoun",0.8155,181388
6,"Adam Caroll",0.558,244880
4,"Adam Carroll",0.618,225853
2,"Adam Chanler-Berat",0.483,194120
2,"Adam Counts",0.503,131161
2,"Adam Gontier",0.274,237347
1,"Adam Gussow",0.536,35973
7,"Adam Hicks",0.532,176301
1,"Adam Hood",0.386,187013
2,"Adam Jensen",0.557,189600
2,"Adam K & Soha",0.731,396643
10,"Adam Lambert",0.5706,221516.6
16,"Adam Levine",0.5685,240700
2,"Adam Melchor",0.493,216000
18,"Adam Pascal",0.505111111111111,208371.166666667
2,"Adam Plack",0.531,131960
2,"Adam Riegler",0.509,179293
14,"Adam Sandler",0.549857142857143,202233.142857143
1,"Adamski",0.785,250760
6,"Adan Chalino Sanchez",0.516,186768
4,"Adan Romero",0.7825,195366.5
2,"Adelaide Van Wey",0.446,60080
80,"Adele",0.564775,248431.575
9,"Adele Kern",0.450777777777778,328706.666666667
4,"Adelina Fernandes",0.5525,190015
14,"Adelitas Way",0.492285714285714,197552.857142857
6,"Adema",0.429666666666667,248186.333333333
2,"Adeva",0.815,240187
4,"Adhir Bagchi",0.5335,177633.5
1,"Adiemus",0.295,237413
5,"Adina Howard",0.7108,266016
2,"Adinath Mangeshkar",0.83,218538
2,"Admiral Bailey",0.722,231400
1,"Adnia Rice",0.581,116467
16,"Adolescent's Orquesta",0.64475,260206.375
32,"Adolescents",0.431125,132533.5
5,"Adolf Busch",0.4192,502242.8
2,"Adolf Stark and Aino Karelia",0.398,196840
18,"Adolfo Berón",0.696222222222222,154801.777777778
1,"Adolfo Echeverria",0.686,230427
50,"Adolfo Tango",0.30916,334481.88
12,"Adolph Baller",0.3375,310931
33,"Adolph Deutsch",0.314869696969697,115558
6,"Adolph Green",0.511833333333333,203873.5
6,"Adolphe Adam",0.284666666666667,223134.5
12,"Adolphe Bérard",0.487333333333333,172455.5
1,"Adolphus Hailstork",0.141,170213
2,"Adrenalize",0.579,210292
6,"Adrian Charras",0.505,176323
2,"Adrian Crush",0.764,214689
2,"Adrian Delgado",0.855,270054
2,"Adrian Gurvitz",0.472,294053
1,"Adrian Marcel",0.849,237653
4,"Adrian Zmed",0.6585,190186.5
2,"Adriana Calcanhotto",0.458,189640
8,"Adriana Caselotti",0.42175,145340
1,"Adriana Chamorro",0.715,199991
2,"Adriana Figueroa",0.441,223530
1,"Adriana Lazzarini",0.318,289227
2,"Adriana Proenza",0.522,187932
2,"Adriana Szuster",0.632,102680
2,"Adrianna Caselotti",0.579,192800
1,"Adrianne Lenker",0.444,157440
1,"Adrianne Pieczonka",0.31,354240
2,"Adriano Banchieri",0.39,167741
6,"Adriano Celentano",0.757666666666667,237338.333333333
3,"Adriel Favela",0.793,186650.666666667
9,"Adrienne Albert",0.618444444444444,79653.4444444444
6,"Adrián Patiño",0.608833333333333,179979.5
1,"Advance",0.809,376864
2,"Adventure Club",0.5695,255962
4,"Adventure Time",0.58175,107937.75
2,"Aegis",0.431,217913
2,"Aeon Soul",0.636,246763
10,"Aer",0.84,207679.8
2,"Aero Chord",0.573,254118
240,"Aerosmith",0.446933333333333,265585.333333333
2,"Aerospace",0.774,450092
22,"Aesop Rock",0.691727272727273,227058.318181818
4,"Afife Hanım",0.3945,158023.5
2,"Aflacko",0.776,159243
1,"Afourteen",0.724,310250
2,"Afric Simone",0.567,176707
2,"African Doctor",0.856,359168
2,"Afrika 70",0.712,745653
4,"Afrika Bambaataa",0.86675,293490
2,"Afro B",0.966,199000
2,"Afro Celt Sound System",0.637,314160
2,"Afro-Cuban All Stars",0.591,396440
11,"Afrojack",0.710909090909091,280340.545454546
16,"Afroman",0.8705,307113.375
3,"Afrosound",0.733,172266.333333333
1,"Afsal",0.441,195226
20,"After 7",0.6855,277688
6,"After The Burial",0.468666666666667,284147
4,"After The Fire",0.6915,292593.5
2,"Afu-Ra",0.842,239413
4,"Afzal Lahori",0.5055,171178
2,"Against All Authority",0.383,226333
12,"Against Me!",0.517666666666667,190395.666666667
3,"Against The Current",0.466666666666667,212391
1,"Agapitos",0.39,201613
1,"Agatha Lee Monn",0.306,206507
2,"Agatha Reilly",0.33,192353
10,"Agathoklis Mouskas",0.4402,269450.6
30,"Agent Orange",0.298866666666667,156721.133333333
2,"Agent Steel",0.123,183267
5,"Agha",0.4922,132442.4
2,"Agnes",0.621,256213
2,"Agnes Baltsa",0.294,697566.5
3,"Agnes Giebel",0.281,197035
4,"Agnes Moorehead",0.531,184940
4,"Agnes Obel",0.439,216570.5
4,"Agnes Varda",0.477,122573.5
3,"Agnetha Fältskog",0.595666666666667,295311
2,"Agnieszka Duczmal",0.118,216147
6,"Agnostic Front",0.266333333333333,151563
2,"Ago",0.936,353000
2,"Agua Marina",0.761,216867
2,"Aguaturbia",0.272,635272
2,"Agung, tambul, and dabakan",0.591,73893
6,"Agust D",0.578666666666667,219421.833333333
4,"Agustin Magaldi",0.6055,156119.5
3,"Agustín Barrios Mangoré",0.358,367231
138,"Agustín Irusta",0.711094202898551,181028.507246377
8,"Agustín Lara",0.457375,192065
1,"Agustín León Ara",0.137,172000
4,"Ahlam",0.435,283875.5
152,"Ahmad Jamal",0.588184210526316,243998.789473684
20,"Ahmad Jamal Quintet",0.573,201344
90,"Ahmad Jamal Trio",0.535511111111111,241825.466666667
4,"Ahmad Lewis",0.663,310866.5
2,"Ahmad Zahir",0.309,331186
6,"Ahmed Dilawar",0.393,196809.666666667
2,"Ahmed Party",0.526,189623
2,"Ahmet Celal Bey",0.395,235781
2,"Ahmet Kaya",0.591,312216
2,"Ahmet Üstün",0.37,199188
1,"Aibohponhcet",0.809,354500
6,"Aida Cuevas",0.597333333333333,219662.333333333
2,"Aiden",0.379,220787
3,"Aiko",0.488666666666667,109005.333333333
7,"Aim",0.787571428571429,295689.571428571
2,"Aimee B",0.804,267600
12,"Aimee Mann",0.578,239182.166666667
2,"Aimer",0.365,233493
2,"Aimie Atkinson",0.738,410089
2,"Aine Minogue",0.486,179867
29,"Air",0.472896551724138,265030.620689655
70,"Air Supply",0.452514285714286,248907.485714286
2,"Air Traffic Controller",0.621,163453
6,"Airbourne",0.56,216106.666666667
2,"Airiel",0.187,566467
6,"Airplay",0.595666666666667,270569
2,"Airship Express",0.255,184250
2,"Aisha Badru",0.484,152960
2,"Aitana",0.639,198947
1,"Ajit Merchant",0.786,195090
4,"Aka Odko",0.7905,145398.5
1,"Akademie für Alte Musik Berlin",0.193,183333
2,"Akano",0.656,89784
2,"Ake Surachet",0.7585,221808.5
2,"Akin",0.565,175360
4,"Akina Nakamori",0.5375,254260
2,"Akinyele",0.645,201533
2,"Akira Ishikawa",0.706,284750
16,"Akira Yamaoka",0.357625,128736.625
1,"Akitoshi Igarashi",0.614,342560
5,"Akkineni Nageswara Rao",0.487,207631.8
2,"Ako",0.783,198928
117,"Akon",0.736076923076924,234083.666666667
20,"Akwid",0.8476,248709.2
2,"Akylla",0.304,229714
6,"Al Alberts",0.422666666666667,165933.333333333
17,"Al B. Sure!",0.675529411764706,276273.705882353
1,"Al Bano",0.385,260493
2,"Al Bano And Romina Power",0.714,194573
52,"Al Bowlly",0.466134615384616,190002.442307692
44,"Al Caiola",0.495681818181818,148262.318181818
2,"Al Casey",0.564,166893
2,"Al Chernet",0.196,199093
3,"Al Cohn",0.434333333333333,597753.333333333
2,"Al Corley",0.747,221507
2,"Al Dexter & His Troopers",0.755,166600
18,"Al Di Meola",0.434,421410.555555556
153,"Al Green",0.686901960784314,222529.725490196
2,"Al Gromer Khan",0.683,264933
8,"Al Haig Quartet",0.38225,220010
6,"Al Haig Trio",0.525333333333333,241400
2,"Al Hazan",0.487,150371
2,"Al Hibbler",0.253,218324
23,"Al Hirt",0.438086956521739,146092.782608696
4,"Al Hudson",0.779,310513.5
6,"Al Hurricane",0.570666666666667,162537.833333333
2,"Al Hurricane, Jr.",0.685,172227
1,"Al Jacobs",0.226,235467
56,"Al Jarreau",0.641607142857143,276805.75
1,"Al Johnson",0.631,309227
18,"Al Jolson",0.489111111111111,100887.444444444
44,"Al Kooper",0.455477272727273,345550.568181818
37,"Al Martino",0.336054054054054,170365.432432432
1,"Al Petteway",0.414,213400
2,"Al Philip Jere Syncopators",0.544,162493
30,"Al Stewart",0.5152,312843.533333333
1,"Al Stillman",0.208,156640
2,"Al Valdés y su Orquesta",0.83,171213
2,"Al Viola",0.572,226527
4,"Al Wilson",0.39,209886.5
1,"Al. Bebe",0.318,201953
223,"Alabama",0.550147982062781,242914.152466368
4,"Alabama 3",0.619,280273
2,"Alabama Jr.Pettis",0.395,232893
22,"Alabama Shakes",0.528,220787.545454545
1,"Alabina",0.636,225667
30,"Alacranes Musical",0.641266666666667,183366.2
2,"Alain Barrière",0.419,175413
2,"Alain Bashung",0.75,196440
1,"Alain Boublil",0.342,265373
2,"Alain Delon",0.567,245667
6,"Alain Planes",0.274333333333333,293697.666666667
2,"Alain Souchon",0.709,324907
2,"Alaine",0.678,230107
2,"Alan Braden",0.21,157149
1,"Alan Braxe",0.859,294720
2,"Alan Bristow",0.18,123291
2,"Alan Cavé",0.758,341347
6,"Alan Cumming",0.596,277335.5
2,"Alan Davies",0.6955,173700
1,"Alan Dudley",0.677,245000
1,"Alan Friedman",0.76,298265
12,"Alan Gilbert",0.468583333333333,192716.75
2,"Alan Hale",0.529,231854
6,"Alan Hawkshaw",0.5275,186384.5
8,"Alan Howarth",0.555,146707.75
242,"Alan Jackson",0.620884297520661,207637.880165289
3,"Alan Jay Lerner",0.599666666666667,267582.333333333
14,"Alan Lomax",0.498,182882.142857143
1,"Alan Loveday",0.553,172000
91,"Alan Menken",0.276197802197802,147735.879120879
40,"Alan Mills",0.78455,116079.9
2,"Alan Mills and the Four Shipmates",0.81,95227
4,"Alan Moorhouse",0.564,163160.5
2,"Alan Palomo",0.667,268233
1,"Alan Parker",0.569,174160
6,"Alan Parsons",0.401666666666667,303844.333333333
2,"Alan Rickman",0.292,267547
26,"Alan Silvestri",0.235576923076923,181187.692307692
18,"Alan Tam",0.466333333333333,243078.666666667
1,"Alan Titus",0.162,384120
2,"Alan Umstead",0.303,102373
27,"Alan Walker",0.618185185185185,203808.222222222
1,"Alan Watts",0.639,294867
1,"Alan Wayne",0.865,291867
7,"Alan Wilder",0.507428571428571,289961.857142857
79,"Alanis Morissette",0.473569620253165,254294.46835443
1,"Alanna Ubach",0.46,165533
6,"Alannah Myles",0.609333333333333,260315.666666667
5,"Alasdair Fraser",0.281,209754.6
6,"Alaska Y Dinarama",0.589333333333333,223124.666666667
2,"Alaska Y Los Pegamoides",0.658,308347
2,"Alauddin",0.741,168625
2,"Alaíde Costa",0.612,185533
11,"Alban Berg",0.327545454545455,391040
2,"Alban Berg Quartett",0.195,475387
7,"Albeli",0.578571428571429,189356.428571428
4,"Albert Ammons & Pete Johnson",0.567,173200
2,"Albert Ayler",0.341,169173
14,"Albert Collins",0.665142857142857,267167.571428571
4,"Albert Cornellier",0.44475,242426.75
13,"Albert Hammond",0.554384615384615,215287.307692308
4,"Albert Hammond Jr",0.5,325793.5
2,"Albert Hay Malotte",0.1535,198133.5
72,"Albert King",0.622944444444445,245849.902777778
5,"Albert Linville",0.6108,245589.2
3,"Albert Lortzing",0.369333333333333,292154.333333333
2,"Albert Nova",0.79,397500
6,"Albert Préjean",0.505666666666667,175284.666666667
100,"Albert Schweitzer",0.121478,320061.32
2,"Alberta Hunter",0.685,320267
1,"Albertina Walker",0.457,550360
1,"Alberto ""Beto"" Zapata",0.276,237467
2,"Alberto Albertini",0.4175,260627
63,"Alberto Arenas",0.526365079365079,175653.26984127
19,"Alberto Beltran",0.613,168911.947368421
14,"Alberto Cortez",0.426571428571429,212165.714285714
116,"Alberto Erede",0.333744827586207,220804.879310345
2,"Alberto Fontán Luna",0.359,186720
24,"Alberto Gomez",0.478916666666667,214528.75
8,"Alberto Martini",0.43725,138003.5
8,"Alberto Pedraza",0.6905,222843.25
4,"Alberto Pedraza Con Su Ritmo Y Sabor",0.7305,257960
2,"Alberto Pedraza Islas",0.62,243413
28,"Alberto Rabagliati",0.418892857142857,183414.392857143
5,"Alberto Ruiz",0.7852,361843.2
3,"Alberto Ruiz Lavadenz",0.632,180018.666666667
12,"Alberto Vazquez",0.4685,179762.166666667
6,"Alberto Y Roberto",0.702,205728.666666667
2,"Albino Gaggi",0.255,313513
8,"Alborosie",0.742,205239.25
4,"Alcatrazz",0.4505,239302.5
8,"Alceo Galliera",0.27875,532403.25
2,"Alceu Valença",0.64,233960
2,"Alcides Briceño",0.407,203173
2,"Alcides Caminha",0.646,243687
86,"Alcoholics Anonymous",0.692744186046512,780712.465116279
2,"Alda Noni",0.4465,209876
13,"Aldenhoff",0.232461538461538,220451.307692308
4,"Aldo Bertocci",0.3725,174309.75
2,"Aldo Campoamor",0.468,172800
2,"Aldo Campoamor & Hector Insua",0.436,173847
2,"Aldo Ciccolini",0.454,261933
2,"Aldo Dona & Elena Beltrami con Orchestra Pippo Barzizza",0.638,184747
