"song","artist","popularity","release_date","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","liveness","valence","tempo","duration_ms","spotify_url"
"this is what you came for","Calvin Harris",0.136363636363636,"2016-04-29","Pop",0.550326797385621,0.935615409378689,0.818181818181818,0.867566988210075,0,0.0114127823161941,0.206195900074365,0.135724108748545,0.456848432803778,0.4307128954112,222160,"https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y"
"wake me up","Avicii",0.363636363636364,"2013-01-01","Pop",0.422222222222222,0.780019315377186,0.181818181818182,0.742808145766345,1,0.034478616049976,0.00391057330480336,0.149476356712155,0.647917561185058,0.43153207399213,247427,"https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD"
"in my mind","Dynoro",0.363636363636364,"2018-06-08","Pop",0.633986928104575,0.766069320742569,0.545454545454545,0.758327974276527,1,0.150648726573763,0.182361051120984,0.103988151909447,0.132674967797338,0.444309859549382,184560,"https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33"
"how deep is your love","Calvin Harris",0.0454545454545454,"2015-07-17","Pop",0.691503267973856,0.871230818757378,1,0.79957127545552,0,0.0594666025949063,0.0402846254032235,0.389611763461335,0.318376985830829,0.416989903799028,212640,"https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s"
"instagram","Dimitri Vegas & Like Mike",0.227272727272728,"2019-07-05","Pop",0.726797385620915,0.912007726150875,0.727272727272727,0.897148981779207,0,0.0875780874579529,0.129509864311314,0.426637046440284,0.977458136539287,0.235426322938401,184558,"https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S"
"lose control","MEDUZA",0.681818181818182,"2019-10-11","Pop",0.508496732026144,0.504238652215903,0.909090909090909,0.615819935691318,0,0.0215040845747237,0.133655055433641,0.127261186924786,0.525547445255474,0.430516852673883,168387,"https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK"
"so close","NOTD",0.136363636363636,"2018-11-02","Pop",0.641830065359477,0.875523124798798,0.909090909090909,0.73427652733119,1,0.0516578567996156,0.125364673188987,0.0881201734898974,0.774581365392872,0.438183524008234,190302,"https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK"
"used to love (with dean lewis)","Martin Garrix",0.318181818181818,"2019-10-31","Pop",0.577777777777778,0.683442429445219,0.363636363636364,0.784608788853162,1,0.0166987025468525,0.474597025245043,0.333544906378927,0.378488621726063,0.395754274431826,236765,"https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP"
"on & on","Alok",0.136363636363636,"2019-11-22","Pop",0.703267973856209,0.7725077798047,0.909090909090909,0.734190782422294,0,0.0583853916386353,0.0241183800261479,0.784195493494129,0.676899957063117,0.438463585061543,147027,"https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat"
"all around the world (la la la)","R3HAB",0.181818181818182,"2019-04-05","Pop",0.684967320261438,0.861573130164181,0.818181818181818,0.771404072883172,0,0.0112926477654974,0.49635927863726,0.0902359039458373,0.515886646629455,0.437609398848949,147840,"https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp"
